turn,player,agent,moved_pair,p1_move,p1_direction,p2_move,p2_direction,p1_score,p2_score,board_matrix_flattened
1,p1,greedy,"[3, 5]","[6, 2] -> [5, 1]",Up-Left,"[6, 4] -> [5, 5]",Up-Right,0,0,[ 0  0 -2  0 -4  0  0] | [-1  0  0  0  0  0 -6] | [ 0  0 -3  0 -5  0  0] | [ 0  0  0  0  0  0  0] | [ 0  0  0  0  0  0  0] | [ 0  3  0  0  0  5  0] | [ 0  0  0  0  0  0  0] | [ 1  0  0  0  0  0  6] | [ 0  0  2  0  4  0  0]
2,p2,minimax,"[-6, -1]","[1, 6] -> [2, 6]",Down,"[1, 0] -> [2, 0]",Down,0,0,[ 0  0 -2  0 -4  0  0] | [ 0  0  0  0  0  0  0] | [-1  0 -3  0 -5  0 -6] | [ 0  0  0  0  0  0  0] | [ 0  0  0  0  0  0  0] | [ 0  3  0  0  0  5  0] | [ 0  0  0  0  0  0  0] | [ 1  0  0  0  0  0  6] | [ 0  0  2  0  4  0  0]
3,p1,greedy,"[5, 3]","[5, 5] -> [6, 4]",Down-Left,"[5, 1] -> [4, 2]",Up-Right,0,0,[ 0  0 -2  0 -4  0  0] | [ 0  0  0  0  0  0  0] | [-1  0 -3  0 -5  0 -6] | [ 0  0  0  0  0  0  0] | [ 0  0  3  0  0  0  0] | [ 0  0  0  0  0  0  0] | [ 0  0  0  0  5  0  0] | [ 1  0  0  0  0  0  6] | [ 0  0  2  0  4  0  0]
4,p2,minimax,"[-3, -1]","[2, 2] -> [3, 2]",Down,"[2, 0] -> [1, 0]",Up,0,0,[ 0  0 -2  0 -4  0  0] | [-1  0  0  0  0  0  0] | [ 0  0  0  0 -5  0 -6] | [ 0  0 -3  0  0  0  0] | [ 0  0  3  0  0  0  0] | [ 0  0  0  0  0  0  0] | [ 0  0  0  0  5  0  0] | [ 1  0  0  0  0  0  6] | [ 0  0  2  0  4  0  0]
5,p1,greedy,"[3, 5]","[4, 2] -> [5, 1]",Down-Left,"[6, 4] -> [5, 5]",Up-Right,0,0,[ 0  0 -2  0 -4  0  0] | [-1  0  0  0  0  0  0] | [ 0  0  0  0 -5  0 -6] | [ 0  0 -3  0  0  0  0] | [ 0  0  0  0  0  0  0] | [ 0  3  0  0  0  5  0] | [ 0  0  0  0  0  0  0] | [ 1  0  0  0  0  0  6] | [ 0  0  2  0  4  0  0]
6,p2,minimax,"[-3, -1]","[3, 2] -> [4, 2]",Down,"[1, 0] -> [2, 0]",Down,0,0,[ 0  0 -2  0 -4  0  0] | [ 0  0  0  0  0  0  0] | [-1  0  0  0 -5  0 -6] | [ 0  0  0  0  0  0  0] | [ 0  0 -3  0  0  0  0] | [ 0  3  0  0  0  5  0] | [ 0  0  0  0  0  0  0] | [ 1  0  0  0  0  0  6] | [ 0  0  2  0  4  0  0]
7,p1,greedy,"[5, 3]","[5, 5] -> [5, 6]",Right,"[5, 1] -> [4, 1]",Up,0,0,[ 0  0 -2  0 -4  0  0] | [ 0  0  0  0  0  0  0] | [-1  0  0  0 -5  0 -6] | [ 0  0  0  0  0  0  0] | [ 0  3 -3  0  0  0  0] | [ 0  0  0  0  0  0  5] | [ 0  0  0  0  0  0  0] | [ 1  0  0  0  0  0  6] | [ 0  0  2  0  4  0  0]
8,p2,minimax,"[-3, -1]","[4, 2] -> [5, 3]",Down-Right,"[2, 0] -> [3, 1]",Down-Right,0,0,[ 0  0 -2  0 -4  0  0] | [ 0  0  0  0  0  0  0] | [ 0  0  0  0 -5  0 -6] | [ 0 -1  0  0  0  0  0] | [ 0  3  0  0  0  0  0] | [ 0  0  0 -3  0  0  5] | [ 0  0  0  0  0  0  0] | [ 1  0  0  0  0  0  6] | [ 0  0  2  0  4  0  0]
9,p1,greedy,"[5, 6]","[5, 6] -> [4, 6]",Up,"[7, 6] -> [6, 5]",Up-Left,0,0,[ 0  0 -2  0 -4  0  0] | [ 0  0  0  0  0  0  0] | [ 0  0  0  0 -5  0 -6] | [ 0 -1  0  0  0  0  0] | [ 0  3  0  0  0  0  5] | [ 0  0  0 -3  0  0  0] | [ 0  0  0  0  0  6  0] | [ 1  0  0  0  0  0  0] | [ 0  0  2  0  4  0  0]
10,p2,minimax,"[-3, -1]","[5, 3] -> [4, 2]",Up-Left,"[3, 1] -> [3, 0]",Left,0,1,[ 0  0 -2  0 -4  0  0] | [ 0  0  0  0  0  0  0] | [ 0  0  0  0 -5  0 -6] | [-1  0  0  0  0  0  0] | [ 0  3 -3  0  0  0  5] | [ 0  0  0  0  0  0  0] | [ 0  0  0  0  0  6  0] | [ 1  0  0  0  0  0  0] | [ 0  0  2  0  4  0  0]
