turn,player,agent,moved_pair,p1_move,p1_direction,p2_move,p2_direction,p1_score,p2_score,board_matrix_flattened
1,p1,greedy,"[5, 3]","[6, 4] -> [6, 3]",Left,"[6, 2] -> [5, 1]",Up-Left,0,0,[ 0  0 -2  0 -4  0  0] | [-1  0  0  0  0  0 -6] | [ 0  0 -3  0 -5  0  0] | [ 0  0  0  0  0  0  0] | [ 0  0  0  0  0  0  0] | [ 0  3  0  0  0  0  0] | [ 0  0  0  5  0  0  0] | [ 1  0  0  0  0  0  6] | [ 0  0  2  0  4  0  0]
2,p2,random,"[-6, -1]","[1, 6] -> [2, 6]",Down,"[1, 0] -> [0, 0]",Up,0,0,[-1  0 -2  0 -4  0  0] | [ 0  0  0  0  0  0  0] | [ 0  0 -3  0 -5  0 -6] | [ 0  0  0  0  0  0  0] | [ 0  0  0  0  0  0  0] | [ 0  3  0  0  0  0  0] | [ 0  0  0  5  0  0  0] | [ 1  0  0  0  0  0  6] | [ 0  0  2  0  4  0  0]
3,p1,greedy,"[6, 1]","[7, 6] -> [6, 5]",Up-Left,"[7, 0] -> [8, 0]",Down,0,0,[-1  0 -2  0 -4  0  0] | [ 0  0  0  0  0  0  0] | [ 0  0 -3  0 -5  0 -6] | [ 0  0  0  0  0  0  0] | [ 0  0  0  0  0  0  0] | [ 0  3  0  0  0  0  0] | [ 0  0  0  5  0  6  0] | [ 0  0  0  0  0  0  0] | [ 1  0  2  0  4  0  0]
4,p2,random,"[-3, -5]","[2, 2] -> [3, 2]",Down,"[2, 4] -> [3, 4]",Down,0,0,[-1  0 -2  0 -4  0  0] | [ 0  0  0  0  0  0  0] | [ 0  0  0  0  0  0 -6] | [ 0  0 -3  0 -5  0  0] | [ 0  0  0  0  0  0  0] | [ 0  3  0  0  0  0  0] | [ 0  0  0  5  0  6  0] | [ 0  0  0  0  0  0  0] | [ 1  0  2  0  4  0  0]
5,p1,greedy,"[6, 5]","[6, 5] -> [5, 6]",Up-Right,"[6, 3] -> [5, 4]",Up-Right,0,0,[-1  0 -2  0 -4  0  0] | [ 0  0  0  0  0  0  0] | [ 0  0  0  0  0  0 -6] | [ 0  0 -3  0 -5  0  0] | [ 0  0  0  0  0  0  0] | [ 0  3  0  0  5  0  6] | [ 0  0  0  0  0  0  0] | [ 0  0  0  0  0  0  0] | [ 1  0  2  0  4  0  0]
6,p2,random,"[-3, -5]","[3, 2] -> [3, 1]",Left,"[3, 4] -> [4, 4]",Down,0,0,[-1  0 -2  0 -4  0  0] | [ 0  0  0  0  0  0  0] | [ 0  0  0  0  0  0 -6] | [ 0 -3  0  0  0  0  0] | [ 0  0  0  0 -5  0  0] | [ 0  3  0  0  5  0  6] | [ 0  0  0  0  0  0  0] | [ 0  0  0  0  0  0  0] | [ 1  0  2  0  4  0  0]
7,p1,greedy,"[4, 3]","[8, 4] -> [7, 4]",Up,"[5, 1] -> [4, 2]",Up-Right,0,0,[-1  0 -2  0 -4  0  0] | [ 0  0  0  0  0  0  0] | [ 0  0  0  0  0  0 -6] | [ 0 -3  0  0  0  0  0] | [ 0  0  3  0 -5  0  0] | [ 0  0  0  0  5  0  6] | [ 0  0  0  0  0  0  0] | [ 0  0  0  0  4  0  0] | [ 1  0  2  0  0  0  0]
8,p2,random,"[-1, -2]","[0, 0] -> [1, 0]",Down,"[0, 2] -> [1, 2]",Down,0,0,[ 0  0  0  0 -4  0  0] | [-1  0 -2  0  0  0  0] | [ 0  0  0  0  0  0 -6] | [ 0 -3  0  0  0  0  0] | [ 0  0  3  0 -5  0  0] | [ 0  0  0  0  5  0  6] | [ 0  0  0  0  0  0  0] | [ 0  0  0  0  4  0  0] | [ 1  0  2  0  0  0  0]
9,p1,greedy,"[5, 4]","[5, 4] -> [6, 3]",Down-Left,"[7, 4] -> [8, 4]",Down,0,0,[ 0  0  0  0 -4  0  0] | [-1  0 -2  0  0  0  0] | [ 0  0  0  0  0  0 -6] | [ 0 -3  0  0  0  0  0] | [ 0  0  3  0 -5  0  0] | [ 0  0  0  0  0  0  6] | [ 0  0  0  5  0  0  0] | [ 0  0  0  0  0  0  0] | [ 1  0  2  0  4  0  0]
10,p2,random,"[-6, -5]","[2, 6] -> [3, 6]",Down,"[4, 4] -> [5, 3]",Down-Left,1,0,[ 0  0  0  0 -4  0  0] | [-1  0 -2  0  0  0  0] | [ 0  0  0  0  0  0  0] | [ 0 -3  0  0  0  0 -6] | [ 0  0  3  0  0  0  0] | [ 0  0  0 -5  0  0  6] | [ 0  0  0  5  0  0  0] | [ 0  0  0  0  0  0  0] | [ 1  0  2  0  4  0  0]
11,p1,greedy,"[4, 2]","[8, 4] -> [8, 5]",Right,"[8, 2] -> [8, 3]",Right,1,0,[ 0  0  0  0 -4  0  0] | [-1  0 -2  0  0  0  0] | [ 0  0  0  0  0  0  0] | [ 0 -3  0  0  0  0 -6] | [ 0  0  3  0  0  0  0] | [ 0  0  0 -5  0  0  6] | [ 0  0  0  5  0  0  0] | [ 0  0  0  0  0  0  0] | [ 1  0  0  2  0  4  0]
12,p2,random,"[-3, -6]","[3, 1] -> [4, 0]",Down-Left,"[3, 6] -> [2, 5]",Up-Left,1,0,[ 0  0  0  0 -4  0  0] | [-1  0 -2  0  0  0  0] | [ 0  0  0  0  0 -6  0] | [ 0  0  0  0  0  0  0] | [-3  0  3  0  0  0  0] | [ 0  0  0 -5  0  0  6] | [ 0  0  0  5  0  0  0] | [ 0  0  0  0  0  0  0] | [ 1  0  0  2  0  4  0]
