turn,player,agent,moved_pair,p1_move,p1_direction,p2_move,p2_direction,p1_score,p2_score,board_matrix_flattened
1,p1,greedy,"[3, 2]","[6, 2] -> [5, 2]",Up,"[8, 2] -> [7, 2]",Up,0,0,[ 0  0 -2  0 -4  0  0] | [-1  0  0  0  0  0 -6] | [ 0  0 -3  0 -5  0  0] | [ 0  0  0  0  0  0  0] | [ 0  0  0  0  0  0  0] | [ 0  0  3  0  0  0  0] | [ 0  0  0  0  5  0  0] | [ 1  0  2  0  0  0  6] | [ 0  0  0  0  4  0  0]
2,p2,minimax,"[-1, -6]","[1, 0] -> [2, 0]",Down,"[1, 6] -> [2, 6]",Down,0,0,[ 0  0 -2  0 -4  0  0] | [ 0  0  0  0  0  0  0] | [-1  0 -3  0 -5  0 -6] | [ 0  0  0  0  0  0  0] | [ 0  0  0  0  0  0  0] | [ 0  0  3  0  0  0  0] | [ 0  0  0  0  5  0  0] | [ 1  0  2  0  0  0  6] | [ 0  0  0  0  4  0  0]
3,p1,greedy,"[2, 3]","[7, 2] -> [6, 2]",Up,"[5, 2] -> [4, 1]",Up-Left,0,0,[ 0  0 -2  0 -4  0  0] | [ 0  0  0  0  0  0  0] | [-1  0 -3  0 -5  0 -6] | [ 0  0  0  0  0  0  0] | [ 0  3  0  0  0  0  0] | [ 0  0  0  0  0  0  0] | [ 0  0  2  0  5  0  0] | [ 1  0  0  0  0  0  6] | [ 0  0  0  0  4  0  0]
4,p2,minimax,"[-6, -5]","[2, 6] -> [1, 6]",Up,"[2, 4] -> [3, 4]",Down,0,0,[ 0  0 -2  0 -4  0  0] | [ 0  0  0  0  0  0 -6] | [-1  0 -3  0  0  0  0] | [ 0  0  0  0 -5  0  0] | [ 0  3  0  0  0  0  0] | [ 0  0  0  0  0  0  0] | [ 0  0  2  0  5  0  0] | [ 1  0  0  0  0  0  6] | [ 0  0  0  0  4  0  0]
5,p1,greedy,"[1, 6]","[7, 0] -> [6, 0]",Up,"[7, 6] -> [8, 6]",Down,0,0,[ 0  0 -2  0 -4  0  0] | [ 0  0  0  0  0  0 -6] | [-1  0 -3  0  0  0  0] | [ 0  0  0  0 -5  0  0] | [ 0  3  0  0  0  0  0] | [ 0  0  0  0  0  0  0] | [ 1  0  2  0  5  0  0] | [ 0  0  0  0  0  0  0] | [ 0  0  0  0  4  0  6]
6,p2,minimax,"[-5, -6]","[3, 4] -> [4, 4]",Down,"[1, 6] -> [2, 6]",Down,0,0,[ 0  0 -2  0 -4  0  0] | [ 0  0  0  0  0  0  0] | [-1  0 -3  0  0  0 -6] | [ 0  0  0  0  0  0  0] | [ 0  3  0  0 -5  0  0] | [ 0  0  0  0  0  0  0] | [ 1  0  2  0  5  0  0] | [ 0  0  0  0  0  0  0] | [ 0  0  0  0  4  0  6]
7,p1,greedy,"[5, 4]","[6, 4] -> [5, 5]",Up-Right,"[8, 4] -> [7, 4]",Up,0,0,[ 0  0 -2  0 -4  0  0] | [ 0  0  0  0  0  0  0] | [-1  0 -3  0  0  0 -6] | [ 0  0  0  0  0  0  0] | [ 0  3  0  0 -5  0  0] | [ 0  0  0  0  0  5  0] | [ 1  0  2  0  0  0  0] | [ 0  0  0  0  4  0  0] | [ 0  0  0  0  0  0  6]
8,p2,minimax,"[-5, -6]","[4, 4] -> [4, 5]",Right,"[2, 6] -> [2, 5]",Left,0,0,[ 0  0 -2  0 -4  0  0] | [ 0  0  0  0  0  0  0] | [-1  0 -3  0  0 -6  0] | [ 0  0  0  0  0  0  0] | [ 0  3  0  0  0 -5  0] | [ 0  0  0  0  0  5  0] | [ 1  0  2  0  0  0  0] | [ 0  0  0  0  4  0  0] | [ 0  0  0  0  0  0  6]
9,p1,greedy,"[4, 3]","[7, 4] -> [8, 4]",Down,"[4, 1] -> [3, 1]",Up,0,0,[ 0  0 -2  0 -4  0  0] | [ 0  0  0  0  0  0  0] | [-1  0 -3  0  0 -6  0] | [ 0  3  0  0  0  0  0] | [ 0  0  0  0  0 -5  0] | [ 0  0  0  0  0  5  0] | [ 1  0  2  0  0  0  0] | [ 0  0  0  0  0  0  0] | [ 0  0  0  0  4  0  6]
10,p2,minimax,"[-5, -6]","[4, 5] -> [4, 6]",Right,"[2, 5] -> [2, 6]",Right,0,0,[ 0  0 -2  0 -4  0  0] | [ 0  0  0  0  0  0  0] | [-1  0 -3  0  0  0 -6] | [ 0  3  0  0  0  0  0] | [ 0  0  0  0  0  0 -5] | [ 0  0  0  0  0  5  0] | [ 1  0  2  0  0  0  0] | [ 0  0  0  0  0  0  0] | [ 0  0  0  0  4  0  6]
