turn,player,agent,moved_pair,p1_move,p1_direction,p2_move,p2_direction,p1_score,p2_score,board_matrix_flattened
1,p1,greedy,"[3, 5]","[6, 2] -> [6, 3]",Right,"[6, 4] -> [5, 5]",Up-Right,0,0,[ 0  0 -2  0 -4  0  0] | [-1  0  0  0  0  0 -6] | [ 0  0 -3  0 -5  0  0] | [ 0  0  0  0  0  0  0] | [ 0  0  0  0  0  0  0] | [ 0  0  0  0  0  5  0] | [ 0  0  0  3  0  0  0] | [ 1  0  0  0  0  0  6] | [ 0  0  2  0  4  0  0]
2,p2,random,"[-4, -5]","[0, 4] -> [1, 4]",Down,"[2, 4] -> [3, 4]",Down,0,0,[ 0  0 -2  0  0  0  0] | [-1  0  0  0 -4  0 -6] | [ 0  0 -3  0  0  0  0] | [ 0  0  0  0 -5  0  0] | [ 0  0  0  0  0  0  0] | [ 0  0  0  0  0  5  0] | [ 0  0  0  3  0  0  0] | [ 1  0  0  0  0  0  6] | [ 0  0  2  0  4  0  0]
3,p1,greedy,"[1, 6]","[7, 0] -> [6, 1]",Up-Right,"[7, 6] -> [8, 6]",Down,0,0,[ 0  0 -2  0  0  0  0] | [-1  0  0  0 -4  0 -6] | [ 0  0 -3  0  0  0  0] | [ 0  0  0  0 -5  0  0] | [ 0  0  0  0  0  0  0] | [ 0  0  0  0  0  5  0] | [ 0  1  0  3  0  0  0] | [ 0  0  0  0  0  0  0] | [ 0  0  2  0  4  0  6]
4,p2,random,"[-4, -1]","[1, 4] -> [0, 4]",Up,"[1, 0] -> [0, 0]",Up,0,0,[-1  0 -2  0 -4  0  0] | [ 0  0  0  0  0  0 -6] | [ 0  0 -3  0  0  0  0] | [ 0  0  0  0 -5  0  0] | [ 0  0  0  0  0  0  0] | [ 0  0  0  0  0  5  0] | [ 0  1  0  3  0  0  0] | [ 0  0  0  0  0  0  0] | [ 0  0  2  0  4  0  6]
5,p1,greedy,"[3, 1]","[6, 3] -> [5, 3]",Up,"[6, 1] -> [7, 0]",Down-Left,0,0,[-1  0 -2  0 -4  0  0] | [ 0  0  0  0  0  0 -6] | [ 0  0 -3  0  0  0  0] | [ 0  0  0  0 -5  0  0] | [ 0  0  0  0  0  0  0] | [ 0  0  0  3  0  5  0] | [ 0  0  0  0  0  0  0] | [ 1  0  0  0  0  0  0] | [ 0  0  2  0  4  0  6]
6,p2,random,"[-4, -3]","[0, 4] -> [1, 4]",Down,"[2, 2] -> [2, 1]",Left,0,0,[-1  0 -2  0  0  0  0] | [ 0  0  0  0 -4  0 -6] | [ 0 -3  0  0  0  0  0] | [ 0  0  0  0 -5  0  0] | [ 0  0  0  0  0  0  0] | [ 0  0  0  3  0  5  0] | [ 0  0  0  0  0  0  0] | [ 1  0  0  0  0  0  0] | [ 0  0  2  0  4  0  6]
7,p1,greedy,"[3, 5]","[5, 3] -> [6, 2]",Down-Left,"[5, 5] -> [6, 6]",Down-Right,0,0,[-1  0 -2  0  0  0  0] | [ 0  0  0  0 -4  0 -6] | [ 0 -3  0  0  0  0  0] | [ 0  0  0  0 -5  0  0] | [ 0  0  0  0  0  0  0] | [ 0  0  0  0  0  0  0] | [ 0  0  3  0  0  0  5] | [ 1  0  0  0  0  0  0] | [ 0  0  2  0  4  0  6]
8,p2,random,"[-6, -5]","[1, 6] -> [0, 6]",Up,"[3, 4] -> [4, 3]",Down-Left,0,0,[-1  0 -2  0  0  0 -6] | [ 0  0  0  0 -4  0  0] | [ 0 -3  0  0  0  0  0] | [ 0  0  0  0  0  0  0] | [ 0  0  0 -5  0  0  0] | [ 0  0  0  0  0  0  0] | [ 0  0  3  0  0  0  5] | [ 1  0  0  0  0  0  0] | [ 0  0  2  0  4  0  6]
9,p1,greedy,"[3, 2]","[6, 2] -> [5, 1]",Up-Left,"[8, 2] -> [7, 2]",Up,0,0,[-1  0 -2  0  0  0 -6] | [ 0  0  0  0 -4  0  0] | [ 0 -3  0  0  0  0  0] | [ 0  0  0  0  0  0  0] | [ 0  0  0 -5  0  0  0] | [ 0  3  0  0  0  0  0] | [ 0  0  0  0  0  0  5] | [ 1  0  2  0  0  0  0] | [ 0  0  0  0  4  0  6]
10,p2,random,"[-3, -5]","[2, 1] -> [3, 1]",Down,"[4, 3] -> [4, 4]",Right,0,0,[-1  0 -2  0  0  0 -6] | [ 0  0  0  0 -4  0  0] | [ 0  0  0  0  0  0  0] | [ 0 -3  0  0  0  0  0] | [ 0  0  0  0 -5  0  0] | [ 0  3  0  0  0  0  0] | [ 0  0  0  0  0  0  5] | [ 1  0  2  0  0  0  0] | [ 0  0  0  0  4  0  6]
