turn,player,agent,moved_pair,p1_move,p1_direction,p2_move,p2_direction,p1_score,p2_score,board_matrix_flattened
1,p1,greedy,"[2, 3]","[8, 2] -> [7, 2]",Up,"[6, 2] -> [5, 2]",Up,0,0,[ 0  0 -2  0 -4  0  0] | [-1  0  0  0  0  0 -6] | [ 0  0 -3  0 -5  0  0] | [ 0  0  0  0  0  0  0] | [ 0  0  0  0  0  0  0] | [ 0  0  3  0  0  0  0] | [ 0  0  0  0  5  0  0] | [ 1  0  2  0  0  0  6] | [ 0  0  0  0  4  0  0]
2,p2,greedy,"[-5, -3]","[2, 4] -> [3, 3]",Down-Left,"[2, 2] -> [3, 1]",Down-Left,0,0,[ 0  0 -2  0 -4  0  0] | [-1  0  0  0  0  0 -6] | [ 0  0  0  0  0  0  0] | [ 0 -3  0 -5  0  0  0] | [ 0  0  0  0  0  0  0] | [ 0  0  3  0  0  0  0] | [ 0  0  0  0  5  0  0] | [ 1  0  2  0  0  0  6] | [ 0  0  0  0  4  0  0]
3,p1,greedy,"[1, 3]","[7, 0] -> [8, 0]",Down,"[5, 2] -> [5, 1]",Left,0,0,[ 0  0 -2  0 -4  0  0] | [-1  0  0  0  0  0 -6] | [ 0  0  0  0  0  0  0] | [ 0 -3  0 -5  0  0  0] | [ 0  0  0  0  0  0  0] | [ 0  3  0  0  0  0  0] | [ 0  0  0  0  5  0  0] | [ 0  0  2  0  0  0  6] | [ 1  0  0  0  4  0  0]
4,p2,greedy,"[-5, -3]","[3, 3] -> [2, 3]",Up,"[3, 1] -> [3, 0]",Left,0,0,[ 0  0 -2  0 -4  0  0] | [-1  0  0  0  0  0 -6] | [ 0  0  0 -5  0  0  0] | [-3  0  0  0  0  0  0] | [ 0  0  0  0  0  0  0] | [ 0  3  0  0  0  0  0] | [ 0  0  0  0  5  0  0] | [ 0  0  2  0  0  0  6] | [ 1  0  0  0  4  0  0]
5,p1,greedy,"[4, 5]","[8, 4] -> [7, 4]",Up,"[6, 4] -> [5, 5]",Up-Right,0,0,[ 0  0 -2  0 -4  0  0] | [-1  0  0  0  0  0 -6] | [ 0  0  0 -5  0  0  0] | [-3  0  0  0  0  0  0] | [ 0  0  0  0  0  0  0] | [ 0  3  0  0  0  5  0] | [ 0  0  0  0  0  0  0] | [ 0  0  2  0  4  0  6] | [ 1  0  0  0  0  0  0]
6,p2,greedy,"[-1, -3]","[1, 0] -> [0, 0]",Up,"[3, 0] -> [4, 1]",Down-Right,0,0,[-1  0 -2  0 -4  0  0] | [ 0  0  0  0  0  0 -6] | [ 0  0  0 -5  0  0  0] | [ 0  0  0  0  0  0  0] | [ 0 -3  0  0  0  0  0] | [ 0  3  0  0  0  5  0] | [ 0  0  0  0  0  0  0] | [ 0  0  2  0  4  0  6] | [ 1  0  0  0  0  0  0]
7,p1,greedy,"[3, 5]","[5, 1] -> [4, 2]",Up-Right,"[5, 5] -> [5, 4]",Left,0,0,[-1  0 -2  0 -4  0  0] | [ 0  0  0  0  0  0 -6] | [ 0  0  0 -5  0  0  0] | [ 0  0  0  0  0  0  0] | [ 0 -3  3  0  0  0  0] | [ 0  0  0  0  5  0  0] | [ 0  0  0  0  0  0  0] | [ 0  0  2  0  4  0  6] | [ 1  0  0  0  0  0  0]
8,p2,greedy,"[-3, -5]","[4, 1] -> [3, 0]",Up-Left,"[2, 3] -> [3, 4]",Down-Right,0,0,[-1  0 -2  0 -4  0  0] | [ 0  0  0  0  0  0 -6] | [ 0  0  0  0  0  0  0] | [-3  0  0  0 -5  0  0] | [ 0  0  3  0  0  0  0] | [ 0  0  0  0  5  0  0] | [ 0  0  0  0  0  0  0] | [ 0  0  2  0  4  0  6] | [ 1  0  0  0  0  0  0]
9,p1,greedy,"[3, 2]","[4, 2] -> [3, 1]",Up-Left,"[7, 2] -> [6, 1]",Up-Left,1,0,[-1  0 -2  0 -4  0  0] | [ 0  0  0  0  0  0 -6] | [ 0  0  0  0  0  0  0] | [-3  3  0  0 -5  0  0] | [ 0  0  0  0  0  0  0] | [ 0  0  0  0  5  0  0] | [ 0  2  0  0  0  0  0] | [ 0  0  0  0  4  0  6] | [ 1  0  0  0  0  0  0]
10,p2,greedy,"[-3, -1]","[3, 0] -> [4, 1]",Down-Right,"[0, 0] -> [1, 0]",Down,1,1,[ 0  0 -2  0 -4  0  0] | [-1  0  0  0  0  0 -6] | [ 0  0  0  0  0  0  0] | [ 0  3  0  0 -5  0  0] | [ 0 -3  0  0  0  0  0] | [ 0  0  0  0  5  0  0] | [ 0  2  0  0  0  0  0] | [ 0  0  0  0  4  0  6] | [ 1  0  0  0  0  0  0]
