turn,player,agent,moved_pair,p1_move,p1_direction,p2_move,p2_direction,p1_score,p2_score,board_matrix_flattened
1,p1,greedy,"[5, 4]","[6, 4] -> [5, 4]",Up,"[8, 4] -> [7, 4]",Up,0,0,[ 0  0 -2  0 -4  0  0] | [-1  0  0  0  0  0 -6] | [ 0  0 -3  0 -5  0  0] | [ 0  0  0  0  0  0  0] | [ 0  0  0  0  0  0  0] | [ 0  0  0  0  5  0  0] | [ 0  0  3  0  0  0  0] | [ 1  0  0  0  4  0  6] | [ 0  0  2  0  0  0  0]
2,p2,random,"[-5, -4]","[2, 4] -> [3, 4]",Down,"[0, 4] -> [1, 4]",Down,0,0,[ 0  0 -2  0  0  0  0] | [-1  0  0  0 -4  0 -6] | [ 0  0 -3  0  0  0  0] | [ 0  0  0  0 -5  0  0] | [ 0  0  0  0  0  0  0] | [ 0  0  0  0  5  0  0] | [ 0  0  3  0  0  0  0] | [ 1  0  0  0  4  0  6] | [ 0  0  2  0  0  0  0]
3,p1,greedy,"[5, 4]","[5, 4] -> [4, 4]",Up,"[7, 4] -> [8, 4]",Down,0,0,[ 0  0 -2  0  0  0  0] | [-1  0  0  0 -4  0 -6] | [ 0  0 -3  0  0  0  0] | [ 0  0  0  0 -5  0  0] | [ 0  0  0  0  5  0  0] | [ 0  0  0  0  0  0  0] | [ 0  0  3  0  0  0  0] | [ 1  0  0  0  0  0  6] | [ 0  0  2  0  4  0  0]
4,p2,random,"[-4, -6]","[1, 4] -> [0, 4]",Up,"[1, 6] -> [0, 6]",Up,0,0,[ 0  0 -2  0 -4  0 -6] | [-1  0  0  0  0  0  0] | [ 0  0 -3  0  0  0  0] | [ 0  0  0  0 -5  0  0] | [ 0  0  0  0  5  0  0] | [ 0  0  0  0  0  0  0] | [ 0  0  3  0  0  0  0] | [ 1  0  0  0  0  0  6] | [ 0  0  2  0  4  0  0]
5,p1,greedy,"[3, 5]","[6, 2] -> [5, 1]",Up-Left,"[4, 4] -> [3, 3]",Up-Left,0,0,[ 0  0 -2  0 -4  0 -6] | [-1  0  0  0  0  0  0] | [ 0  0 -3  0  0  0  0] | [ 0  0  0  5 -5  0  0] | [ 0  0  0  0  0  0  0] | [ 0  3  0  0  0  0  0] | [ 0  0  0  0  0  0  0] | [ 1  0  0  0  0  0  6] | [ 0  0  2  0  4  0  0]
6,p2,random,"[-5, -4]","[3, 4] -> [4, 3]",Down-Left,"[0, 4] -> [1, 4]",Down,0,0,[ 0  0 -2  0  0  0 -6] | [-1  0  0  0 -4  0  0] | [ 0  0 -3  0  0  0  0] | [ 0  0  0  5  0  0  0] | [ 0  0  0 -5  0  0  0] | [ 0  3  0  0  0  0  0] | [ 0  0  0  0  0  0  0] | [ 1  0  0  0  0  0  6] | [ 0  0  2  0  4  0  0]
7,p1,greedy,"[3, 5]","[5, 1] -> [4, 0]",Up-Left,"[3, 3] -> [2, 4]",Up-Right,0,0,[ 0  0 -2  0  0  0 -6] | [-1  0  0  0 -4  0  0] | [ 0  0 -3  0  5  0  0] | [ 0  0  0  0  0  0  0] | [ 3  0  0 -5  0  0  0] | [ 0  0  0  0  0  0  0] | [ 0  0  0  0  0  0  0] | [ 1  0  0  0  0  0  6] | [ 0  0  2  0  4  0  0]
8,p2,random,"[-1, -5]","[1, 0] -> [0, 0]",Up,"[4, 3] -> [5, 4]",Down-Right,1,1,[-1  0 -2  0  0  0 -6] | [ 0  0  0  0 -4  0  0] | [ 0  0 -3  0  5  0  0] | [ 0  0  0  0  0  0  0] | [ 3  0  0  0  0  0  0] | [ 0  0  0  0 -5  0  0] | [ 0  0  0  0  0  0  0] | [ 1  0  0  0  0  0  6] | [ 0  0  2  0  4  0  0]
9,p1,greedy,"[1, 6]","[7, 0] -> [8, 0]",Down,"[7, 6] -> [6, 5]",Up-Left,1,1,[-1  0 -2  0  0  0 -6] | [ 0  0  0  0 -4  0  0] | [ 0  0 -3  0  5  0  0] | [ 0  0  0  0  0  0  0] | [ 3  0  0  0  0  0  0] | [ 0  0  0  0 -5  0  0] | [ 0  0  0  0  0  6  0] | [ 0  0  0  0  0  0  0] | [ 1  0  2  0  4  0  0]
10,p2,random,"[-3, -1]","[2, 2] -> [3, 2]",Down,"[0, 0] -> [1, 0]",Down,1,1,[ 0  0 -2  0  0  0 -6] | [-1  0  0  0 -4  0  0] | [ 0  0  0  0  5  0  0] | [ 0  0 -3  0  0  0  0] | [ 3  0  0  0  0  0  0] | [ 0  0  0  0 -5  0  0] | [ 0  0  0  0  0  6  0] | [ 0  0  0  0  0  0  0] | [ 1  0  2  0  4  0  0]
11,p1,greedy,"[3, 1]","[4, 0] -> [5, 1]",Down-Right,"[8, 0] -> [7, 0]",Up,1,1,[ 0  0 -2  0  0  0 -6] | [-1  0  0  0 -4  0  0] | [ 0  0  0  0  5  0  0] | [ 0  0 -3  0  0  0  0] | [ 0  0  0  0  0  0  0] | [ 0  3  0  0 -5  0  0] | [ 0  0  0  0  0  6  0] | [ 1  0  0  0  0  0  0] | [ 0  0  2  0  4  0  0]
12,p2,random,"[-5, -3]","[5, 4] -> [6, 4]",Down,"[3, 2] -> [4, 1]",Down-Left,2,2,[ 0  0 -2  0  0  0 -6] | [-1  0  0  0 -4  0  0] | [ 0  0  0  0  5  0  0] | [ 0  0  0  0  0  0  0] | [ 0 -3  0  0  0  0  0] | [ 0  3  0  0  0  0  0] | [ 0  0  0  0 -5  6  0] | [ 1  0  0  0  0  0  0] | [ 0  0  2  0  4  0  0]
13,p1,greedy,"[5, 3]","[2, 4] -> [2, 3]",Left,"[5, 1] -> [4, 0]",Up-Left,3,2,[ 0  0 -2  0  0  0 -6] | [-1  0  0  0 -4  0  0] | [ 0  0  0  5  0  0  0] | [ 0  0  0  0  0  0  0] | [ 3 -3  0  0  0  0  0] | [ 0  0  0  0  0  0  0] | [ 0  0  0  0 -5  6  0] | [ 1  0  0  0  0  0  0] | [ 0  0  2  0  4  0  0]
14,p2,random,"[-1, -4]","[1, 0] -> [0, 0]",Up,"[1, 4] -> [2, 4]",Down,3,2,[-1  0 -2  0  0  0 -6] | [ 0  0  0  0  0  0  0] | [ 0  0  0  5 -4  0  0] | [ 0  0  0  0  0  0  0] | [ 3 -3  0  0  0  0  0] | [ 0  0  0  0  0  0  0] | [ 0  0  0  0 -5  6  0] | [ 1  0  0  0  0  0  0] | [ 0  0  2  0  4  0  0]
15,p1,greedy,"[2, 4]","[8, 2] -> [8, 3]",Right,"[8, 4] -> [8, 5]",Right,3,2,[-1  0 -2  0  0  0 -6] | [ 0  0  0  0  0  0  0] | [ 0  0  0  5 -4  0  0] | [ 0  0  0  0  0  0  0] | [ 3 -3  0  0  0  0  0] | [ 0  0  0  0  0  0  0] | [ 0  0  0  0 -5  6  0] | [ 1  0  0  0  0  0  0] | [ 0  0  0  2  0  4  0]
16,p2,random,"[-4, -5]","[2, 4] -> [3, 3]",Down-Left,"[6, 4] -> [7, 5]",Down-Right,3,4,[-1  0 -2  0  0  0 -6] | [ 0  0  0  0  0  0  0] | [ 0  0  0  5  0  0  0] | [ 0  0  0 -4  0  0  0] | [ 3 -3  0  0  0  0  0] | [ 0  0  0  0  0  0  0] | [ 0  0  0  0  0  6  0] | [ 1  0  0  0  0 -5  0] | [ 0  0  0  2  0  4  0]
17,p1,greedy,"[2, 4]","[8, 3] -> [8, 2]",Left,"[8, 5] -> [8, 6]",Right,3,4,[-1  0 -2  0  0  0 -6] | [ 0  0  0  0  0  0  0] | [ 0  0  0  5  0  0  0] | [ 0  0  0 -4  0  0  0] | [ 3 -3  0  0  0  0  0] | [ 0  0  0  0  0  0  0] | [ 0  0  0  0  0  6  0] | [ 1  0  0  0  0 -5  0] | [ 0  0  2  0  0  0  4]
18,p2,random,"[-1, -2]","[0, 0] -> [1, 1]",Down-Right,"[0, 2] -> [0, 3]",Right,4,4,[ 0  0  0 -2  0  0 -6] | [ 0 -1  0  0  0  0  0] | [ 0  0  0  5  0  0  0] | [ 0  0  0 -4  0  0  0] | [ 3 -3  0  0  0  0  0] | [ 0  0  0  0  0  0  0] | [ 0  0  0  0  0  6  0] | [ 1  0  0  0  0 -5  0] | [ 0  0  2  0  0  0  4]
19,p1,greedy,"[3, 1]","[4, 0] -> [3, 0]",Up,"[7, 0] -> [6, 0]",Up,4,4,[ 0  0  0 -2  0  0 -6] | [ 0 -1  0  0  0  0  0] | [ 0  0  0  5  0  0  0] | [ 3  0  0 -4  0  0  0] | [ 0 -3  0  0  0  0  0] | [ 0  0  0  0  0  0  0] | [ 1  0  0  0  0  6  0] | [ 0  0  0  0  0 -5  0] | [ 0  0  2  0  0  0  4]
